ich i
wir we
die the
sie they
das this
er he
prozent percent
was what
geschichte story
frauen women
kinder children
wie how
frage question
daten data
wasser water
zukunft future
nun well
menschlichen human
verstehen understand
ziemlich pretty
ein a
schule school
bild picture
körper body
afrika africa
wissenschaft science
energie energy
antwort answer
diese these
buch book
warum why
stunden hours
mutter mother
geschichten stories
universum universe
natur nature
oder or
stadt city
lernen learn
projekt project
indien india
meine my
regierung government
spielen play
sprache language
gesellschaft society
fragen questions
frau woman
sprechen talk
soziale social
dann then
unterschied difference
eltern parents
hier here's
verändern change
gehört heard
raum space
vereinigten united
zellen cells
vater father
einfach simply
erfahrung experience
wochen weeks
jetzt now
haus house
freunde friends
bauen build
kultur culture
krebs cancer
unglaublich incredibly
stück piece
woche week
tiere animals
gebäude building
kopf head
prozess process
falsch wrong
eine one
tausende thousands
hören hear
essen food
gesundheit health
verhalten behavior
mädchen girls
oberfläche surface
gemeinschaft community
wirtschaft economy
vielleicht maybe
fühlen feel
modell model
struktur structure
technologien technologies
bildung education
zugang access
freund friend
schwer hard
jahrhundert century
lösung solution
beziehung relationship
für for
kosten cost
teilen share
spiel game
beginnen start
größe size
glücklich happy
mitgefühl compassion
bücher books
wahrheit truth
schulen schools
medien media
schlechte bad
denken thinking
amerikanischen american
gelernt learned
schrieb wrote
herausforderung challenge
hoffnung hope
realität reality
städte cities
einige some
öffentlichen public
regeln rules
markt market
beispiele examples
plötzlich suddenly
nicht not
absolut absolutely
stimme voice
schneller faster
aufmerksamkeit attention
lehrer teachers
entwicklung development
komplett completely
wissenschaftler scientists
kindern kids
ist is
einzelne single
lassen let
schreiben write
gebaut built
krankheit disease
bringen bring
architektur architecture
mitte middle
produkt product
ozean ocean
alter age
schönheit beauty
arten kinds
verändert changed
objekt object
modernen modern
reise journey
lösen solve
entscheidungen decisions
politischen political
erfolg success
bakterien bacteria
wachsen grow
wachstum growth
zeug stuff
dorf village
armut poverty
passierte happened
fähigkeit ability
stunde hour
medizin medicine
umwelt environment
rolle role
natürliche natural
können can
roten red
universität university
unglaubliche incredible
lösungen solutions
nachrichten news
gewalt violence
englisch english
erklären explain
buchstäblich literally
glück happiness
armen poor
netzwerk network
kreativität creativity
produkte products
mit with
materialien materials
reihe series
viele many
sicherheit security
amerikaner americans
schwierig difficult
gefühl feeling
leidenschaft passion
verbunden connected
neuronen neurons
schwarze black
regierungen governments
größte biggest
wissenschaftliche scientific
projekte projects
programm program
alle all
nach after
konzept concept
pflanzen plants
meilen miles
komplexität complexity
preis price
sterne stars
wand wall
unmöglich impossible
verständnis understanding
